date,tweets,pos,neg,neutr,open,high,low,volume,close
2016-11-23,830,186,101,543,190.61,195.64,189,4891893,193.14
2016-11-25,468,108,36,324,193.64,197.24,193.64,2366098,196.65
2016-11-28,707,197,55,455,195.48,199.35,194.55,4529182,196.12
2016-11-29,1002,209,115,678,195.56,196.73,189.5,4439256,189.57
2016-11-30,125,43,9,73,191,191.89,187.5,3547104,189.4
2016-12-01,211,53,26,132,188.25,188.53,181,5126401,181.88
2016-12-02,823,173,84,566,182.88,184.88,180,4042324,181.47
2016-12-05,677,146,41,490,182.51,188.89,182.51,4072239,186.8
2016-12-06,559,109,45,405,185.52,186.58,182.68,3391622,185.85
2016-12-07,773,197,69,507,186.15,193.4,185,5461851,193.15
2016-12-08,660,144,67,449,192.05,192.5,189.54,3194148,192.29
2016-12-09,731,114,39,578,190.87,193.84,190.81,2722505,192.18
2016-12-12,628,93,43,492,192.8,194.42,191.04,2438876,192.43
2016-12-13,884,177,56,651,193.18,201.28,193,6823884,198.15
2016-12-14,944,181,51,712,198.74,203,196.76,4150927,198.69
2016-12-15,729,159,40,530,198.41,200.74,197.39,3219567,197.58
2016-12-16,702,160,48,494,198.08,202.59,197.6,3796889,202.49
2016-12-19,550,114,30,406,202.49,204.45,199.84,3488071,202.73
2016-12-20,863,206,69,588,203.05,209,202.5,4689071,208.79
2016-12-21,838,158,58,622,208.45,212.23,207.41,5207622,207.7
2016-12-22,745,115,60,570,208.22,209.99,206.5,3111108,208.45
2016-12-23,584,133,32,419,208,213.45,207.71,4670464,213.34
2016-12-27,1116,309,62,745,214.88,222.25,214.42,5915732,219.53
2016-12-28,955,171,60,724,221.53,223.8,217.2,3782456,219.74
2016-12-29,849,209,52,588,218.56,219.2,214.12,4044968,214.68
2016-12-30,929,164,56,709,216.3,217.5,211.68,4642620,213.69
2017-01-03,678,164,52,462,214.86,220.33,210.96,5923254,216.99
2017-01-04,2278,548,208,1522,214.75,228,214.31,11213471,226.99
2017-01-05,1119,220,125,774,226.42,227.48,221.95,5911695,226.75
2017-01-06,885,189,64,632,226.93,230.31,225.45,5527893,229.01
2017-01-09,752,165,36,551,228.97,231.92,228,3979484,231.28
2017-01-10,701,152,58,491,232,232,226.89,3659955,229.87
2017-01-11,830,189,55,586,229.07,229.98,226.68,3650825,229.73
2017-01-12,652,147,46,459,229.06,230.7,225.58,3790229,229.59
2017-01-13,943,236,120,587,230,237.85,229.59,6092960,237.75
2017-01-17,629,138,38,453,236.7,239.96,234.37,4617522,235.58
2017-01-18,623,123,34,466,236.65,239.71,235.58,3768967,238.36
2017-01-19,1610,334,110,1166,247.25,248.68,240.75,7732303,243.76
2017-01-20,934,337,36,561,245.46,246,243.01,4204275,244.73
2017-01-23,902,180,58,664,245.85,250.89,245.5,6262938,248.92
2017-01-24,960,281,71,608,250,254.8,249.65,4965451,254.61
2017-01-25,892,202,72,618,257.31,258.46,251.8,5146361,254.47
2017-01-26,691,129,51,511,254.29,255.74,250.75,3152123,252.51
